ID;Genero;rango_edad;distrito;nivel_educativo;situacion_laboral;nivel_socioeconomico;variedad_productos_financieros;conceptos_ahorro;Tarjeto de Debito;depósitos en cuentas de ahorro/corriente;Préstamos personales;Tarjeta de crédito;Compras en cuotas con tarjeta de crédito;No he utilizado ninguno;prestamos_garantia;inversion_fondos_comunes;diferencias_creditos;leasing;arrendamiento_financiero;creditos_educativos;ventajas_desventajas;menores_edad;mayores_edad;responsable_desiciones;presupuesto;presupuesto_familiar;plan_presupuesto_familiar
1;Masculino;40 años o más;Distrito 1;Educación secundaria;Desempleado;Medio;No;Si;FALSO;FALSO;FALSO;FALSO;FALSO;VERDADERO;Si;Si;No;Si;No;Si;No estoy seguro/a;1;3;Yo mismo/a;No;No estoy seguro/a;No tengo un plan
2;Masculino;40 años o más;Distrito 1;Educación universitaria;Empleado a tiempo completo;Medio;No estoy seguro/a;Si;VERDADERO;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;Si;No;No estoy seguro/a;No;No;Si;Si;Ninguno;3;Yo mismo/a;Si;No;La mayoría de las veces
3;Femenino;40 años o más;Distrito 1;Postgrado;Empleado a tiempo parcial;Medio;Si;Si;VERDADERO;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;No;No estoy seguro/a;Si;No;No;No estoy seguro/a;Si;Ninguno;1;Yo mismo/a;Si;No;No tengo un plan
4;Femenino;40 años o más;Distrito 1;Educación universitaria;Autónomo;Alto;Si;Si;VERDADERO;VERDADERO;VERDADERO;FALSO;VERDADERO;FALSO;No;No;Si;Si;No;No;Si;Ninguno;2;Yo mismo/a;Si;No;La mayoría de las veces
5;Masculino;18 - 25 años;Distrito 1;Educación universitaria;Estudiante;Medio;No estoy seguro/a;Si;VERDADERO;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;No estoy seguro/a;Si;Si;No;No estoy seguro/a;Si;Si;1;3;Yo mismo/a;No;No estoy seguro/a;Algunas veces
6;Femenino;18 - 25 años;Distrito 1;Educación universitaria;Estudiante;Medio;Si;Si;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;Si;No;Si;No;Si;Si;Si;Ninguno;2;Yo mismo/a;Si;Si;La mayoría de las veces
7;Femenino;18 - 25 años;Distrito 1;Educación secundaria;Estudiante;Medio;Si;Si;VERDADERO;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;Si;No;Si;No;No estoy seguro/a;Si;Si;Ninguno;3;Otro;Si;Si;La mayoría de las veces
8;Femenino;40 años o más;Distrito 1;Postgrado;Autónomo;Medio;Si;Si;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Si;Si;No;Si;No;Si;Si;1;3;Ambos, en colaboración;Si;Si;Siempre
9;Femenino;40 años o más;Distrito 1;Educación técnica o profesional;Empleado a tiempo completo;Medio;Si;Si;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;Si;No;Si;No;No;Si;No;3;1;Yo mismo/a;Si;Si;Algunas veces
10;Femenino;40 años o más;Distrito 1;Educación secundaria;Autónomo;Medio;Si;Si;VERDADERO;FALSO;VERDADERO;FALSO;VERDADERO;FALSO;Si;No;Si;No;No;Si;No estoy seguro/a;Ninguno;3;Ambos, en colaboración;No;No;No tengo un plan
